attribute,classes,user,music,employee,book,website,credit card,shopping cart,patient
nick name,"['user', 'music','employee','book','website','credit card','shopping cart'  , 'patient' ]",1,0,1,0,0,0,0,0
user name,"['user', 'music','employee','book','website','credit card','shopping cart'  , 'patient' ]",1,0,0,0,0,0,0,0
full name,"['user', 'music','employee','book','website','credit card','shopping cart'  , 'patient' ]",1,0,1,0,0,0,0,1
id,"['user', 'music','employee','book','website','credit card','shopping cart'  , 'patient' ]",1,0,1,0,0,1,1,1
email,"['user', 'music','employee','book','website','credit card','shopping cart'  , 'patient' ]",1,0,1,0,0,0,0,0
password,"['user', 'music','employee','book','website','credit card','shopping cart'  , 'patient' ]",1,0,1,0,0,0,0,0
ip address,"['user', 'music','employee','book','website','credit card','shopping cart'  , 'patient' ]",1,0,1,0,0,0,0,0
birth date,"['user', 'music','employee','book','website','credit card','shopping cart'  , 'patient' ]",1,0,1,0,0,0,0,1
mobile number,"['user', 'music','employee','book','website','credit card','shopping cart'  , 'patient' ]",1,0,1,0,0,0,0,0
phone number,"['user', 'music','employee','book','website','credit card','shopping cart'  , 'patient' ]",1,0,1,0,0,0,0,0
last login date,"['user', 'music','employee','book','website','credit card','shopping cart'  , 'patient' ]",1,0,0,0,0,0,0,0
user preferences,"['user', 'music','employee','book','website','credit card','shopping cart'  , 'patient' ]",1,0,0,0,0,0,0,0
address,"['user', 'music','employee','book','website','credit card','shopping cart'  , 'patient' ]",1,0,0,0,0,0,0,1
subscription status,"['user', 'music','employee','book','website','credit card','shopping cart'  , 'patient' ]",1,0,0,0,0,0,0,0
user role,"['user', 'music','employee','book','website','credit card','shopping cart'  , 'patient' ]",1,0,0,0,0,0,0,0
contact information,"['user', 'music','employee','book','website','credit card','shopping cart'  , 'patient' ]",1,0,1,0,0,0,0,0
feedbacks,"['user', 'music','employee','book','website','credit card','shopping cart'  , 'patient' ]",1,0,0,0,0,0,0,0
posts,"['user', 'music','employee','book','website','credit card','shopping cart'  , 'patient' ]",1,0,0,0,0,0,0,0
profile picture,"['user', 'music','employee','book','website','credit card','shopping cart'  , 'patient' ]",1,0,0,0,0,0,0,0
activity log,"['user', 'music','employee','book','website','credit card','shopping cart'  , 'patient' ]",1,0,0,0,0,0,0,0
ads,"['user', 'music','employee','book','website','credit card','shopping cart'  , 'patient' ]",1,0,0,0,0,0,0,0
title,"['user', 'music','employee','book','website','credit card','shopping cart'  , 'patient' ]",0,0,0,1,0,0,0,0
author,"['user', 'music','employee','book','website','credit card','shopping cart'  , 'patient' ]",0,0,0,1,0,0,0,0
publisher,"['user', 'music','employee','book','website','credit card','shopping cart'  , 'patient' ]",0,0,0,1,0,0,0,0
isbn,"['user', 'music','employee','book','website','credit card','shopping cart'  , 'patient' ]",0,0,0,1,0,0,0,0
