attribute,class
lastlogindate,user
userpreferences,user
subscriptionstatus,user
userrole,user
contactinformation,user
title,book
author,book
isbn,book
ISBN,book
publicationdate,book
format,book
coverimage,book
retialprice,book
language,book
numberofpages,book
genre,book
category,book
download_url,book
shippingweight,book
edition,book
publisher,book
numberofpages,book
summary,book
description,book
awards,book
artist,music
title,music
releasedate,music
duration,music
coverart,music
formatmusic,music
sonwriter,music
lyrics,music
recordinglocation,music
label,music
album,music
length,music
category,music
musicvideo,music
fanfeedback,music
playcount,music
numberofdownloads,music
equipmentused,music
licensinginformation,music
platform,music
id,employee
salary,employee
employeename,employee
jobtitle,employee
Departmentofemployee,employee
salary,employee
compensation,employee
employmentstatus,employee
employmenttype,employee
hiredate,employee
terminationdate,employee
performancemetrics,employee
benefitseligibility,employee
workschedule,employee
timeoff,employee
trainingrecords,employee
Worklocation,employee
Contactinformation,employee
id,customer
paymentid,customer
customername,customer
opinion,customer
emailaddress,customer
information,customer
mailingaddress,customer
billingaddress,customer
paymentmethod,customer
purchasehistory,customer
loyaltyprogrammembership,customer
interests,customer
occupation,customer
income,customer
educationlevel,customer
maritalstatus,customer
familysize,customer
geographiclocation,customer
preferredlanguage,customer
communicationpreferences,customer
socialmediahandles,customer
homepage,website
map,website
numberofpages,website
url,website
title,website
keywords,website
content,website
sitesecurity,website
language,website
seoinformation,website
webanalytics,website
responsiveness,website
termsofservices,website
hostingprovider,website
technology,website
domainname,website
trafficbehavior,website
uptime,website
cookieusageinformation,website
securitycertificate,website
brand,car
model,car
yearofmanufacture,car
color,car
mileage,car
enginesize,car
transmission,car
fueltype,car
numberofdoors,car
price,car
seatingcapacity,car
VIN,car
topspeed,car
horsepower,car
safetyfeatures,car
weight,car
brakingdistance,car
tyres,car
entertainmentsystem,car
suspensiontype,car
steeringtype,car
emissions,car
wheelbase,car
cardnumber,creditcard
cardholdername,creditcard
expirationdate,creditcard
CVVcode,creditcard
issuer,creditcard
cardtype,creditcard
creditlimit,creditcard
balance,creditcard
interestrate,creditcard
rewardsprogram,creditcard
annualfee,creditcard
latepaymentfee,creditcard
foreigntransactionfee,creditcard
status,creditcard
cardhistory,creditcard
billingaddress,creditcard
creditscore,creditcard
student_id,student
first_name,student
last_name,student
date_of_birth,student
gender,student
address,student
phone_number,student
email_address,student
major,student
minor,student
gpa,student
class_level,student
enrollment_status,student
advisor,student
campus_involvement,student
scholarship_status,student
transcript,student
graduation_date,student
student_type,student
work_experience,student
id,exam
name,exam
description,exam
text,exam
subject,exam
result,exam
identifier,exam
minimum_score,exam
maximum_score,exam
correct_answers,exam
version,exam
id,shoppingcart
total,shoppingcart
desciption,shoppingcart
items,shoppingcart
products,shoppingcart
discount,shoppingcart
customerid,shoppingcart
state,shoppingcart
isclosed,shoppingcart
isempty,shoppingcart
details,shoppingcart
coupon,shoppingcart
taxamount,shoppingcart
discountamount,shoppingcart
paymentmethod,shoppingcart
shippingaddress,shoppingcart
bilingaddress,shoppingcart
isempty,shoppingcart
notes,shoppingcart
createdate,shoppingcart
modifieddate,shoppingcart
id,patient
name,patient
age,patient
gender,patient
address,patient
phone,patient
email,patient
emergencycontactname,patient
emergencycontactphone,patient
insuranceprovider,patient
bloodtype,patient
heightcm,patient
home_visit_requested,patient
last_visit_date,patient
weight_kg,patient
doctor_name,patient
prescription_history,patient
discharge_date,patient
is_alcoholic,patient
is_smoker,patient
primary_care_physician,patient
