attribute,user,music,employee,book
feedbacks,1,0,0,0
contributions,1,0,0,0
timezone,1,0,0,0
interests,1,0,0,0
location,1,0,0,0
userid,1,0,0,0
nickname,1,0,0,0
ipaddress,1,0,0,0
posts,1,0,0,0
ads,1,0,0,0
username,1,0,0,0
birthdate,1,0,0,0
password,1,0,0,0
mobilenumber,1,0,0,0
fullname,1,0,0,0
profilepicture,1,0,0,0
activitylog,1,0,0,0
lastlogindate,1,0,0,0
userpreferences,1,0,0,0
subscriptionstatus,1,0,0,0
userrole,1,0,0,0
contactinformation,1,0,0,0
title,0,0,0,1
author,0,0,0,1
isbn,0,0,0,1
ISBN,0,0,0,1
publicationdate,0,0,0,1
format,0,0,0,1
coverimage,0,0,0,1
retialprice,0,0,0,1
language,0,0,0,1
numberofpages,0,0,0,1
genre,0,0,0,1
category,0,0,0,1
download_url,0,0,0,1
shippingweight,0,0,0,1
edition,0,0,0,1
publisher,0,0,0,1
numberofpages,0,0,0,1
summary,0,0,0,1
description,0,0,0,1
awards,0,0,0,1
artist,0,1,0,0
title,0,1,0,0
releasedate,0,1,0,0
duration,0,1,0,0
coverart,0,1,0,0
formatmusic,0,1,0,0
sonwriter,0,1,0,0
lyrics,0,1,0,0
recordinglocation,0,1,0,0
label,0,1,0,0
album,0,1,0,0
length,0,1,0,0
category,0,1,0,0
musicvideo,0,1,0,0
fanfeedback,0,1,0,0
playcount,0,1,0,0
numberofdownloads,0,1,0,0
equipmentused,0,1,0,0
licensinginformation,0,1,0,0
platform,0,1,0,0
id,0,0,1,0
salary,0,0,1,0
employeename,0,0,1,0
jobtitle,0,0,1,0
Departmentofemployee,0,0,1,0
salary,0,0,1,0
compensation,0,0,1,0
employmentstatus,0,0,1,0
employmenttype,0,0,1,0
hiredate,0,0,1,0
terminationdate,0,0,1,0
performancemetrics,0,0,1,0
benefitseligibility,0,0,1,0
workschedule,0,0,1,0
timeoff,0,0,1,0
trainingrecords,0,0,1,0
Worklocation,0,0,1,0
Contactinformation,0,0,1,0
