attribute,class
userid,user
nickname,user
ipaddress,user
username,user
birthdate,user
password,user
mobilenumber,user
fullname,user
profilepicture,user
activitylog,user
lastlogindate,user
userpreferences,user
subscriptionstatus,user
userrole,user
contactinformation,user
title,book
author,book
isbn,book
publicationdate,book
format,book
coverimage,book
retialprice,book
language,book
numberofpages,book
genre,book
category,book
download_url,book
shippingweight,book
edition,book
publisher,book
numberofpages,book
summary,book
description,book
awards,book
